2016;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;TOTAAL KG;;
1;85;175;120;0;350;285;90;215;335;150;20;290;2 115;;
55;350;280;260;300;400;270;190;370;350;189;225;220;3 404;;
102;467;304;368;286;407;448;609;381;500;282;334;529;4 915;;
105;667;750;955;1015;880;1155;890;1025;730;705;1010;820;10 602;;
106;525;435;595;470;390;490;515;360;750;550;665;545;6 290;;
109;270;450;426;365;370;280;354;439;270;305;575;610;4 714;;
110;430;435;520;280;460;555;557;640;579;345;565;470;5 836;;
111;825;527;555;982;747;965;1330;1056;1035;865;780;1220;10 887;;
116;;;;;;;;;;;;;0;;
117;341;355;280;270;390;435;445;264;1325;1400;1060;760;7 325;;
121;380;380;320;450;590;555;455;470;215;395;330;515;5 055;;
127;160;130;140;150;120;270;335;270;110;20;165;148;2 018;;
128;1 025;385;1160;1285;1245;1230;1065;2090;1355;1060;765;770;13 435;;
130;490;790;640;510;940;635;1075;820;885;613;972;940;9 310;;
131;180;215;310;170;215;185;230;310;223;135;340;430;2 943;;
139;520;535;510;415;535;395;760;435;755;580;705;1095;7 240;;
142;940;1005;1400;1090;1100;1690;1314;1 460;1010;1130;1430;1480;15 049;;
146;1 178;1005;1275;870;750;1170;955;875;1190;805;735;1100;11 908;;
148;;;;;;;;;;;;;0;;
151;645;590;675;440;370;550;510;570;445;695;460;950;6 900;;
157;190;188;220;230;485;535;424;365;574;176;125;357;3 869;;
160;295;300;415;375;395;470;276;451;360;285;610;555;4 787;;
161;335;420;435;285;125;205;1765;1680;915;1010;655;1005;8 835;;
169;620;490;505;500;610;950;825;825;1005;520;645;485;7 980;;
175;75;115;90;50;110;80;125;80;110;90;60;100;1 085;;
179;302;405;465;320;460;714;505;549;665;406;505;425;5 721;;
182;80;80;80;80;0;0;0;0;0;0;0;0;320;;
190;350;335;525;450;495;470;305;435;510;190;175;170;4 410;;
204;347;130;192;40;65;200;110;105;115;50;125;70;1 549;;
239;165;130;145;260;425;240;370;530;497;355;355;190;3 662;;
240;436;365;575;402;221;694;589;603;365;252;387;361;5 250;;
244;805;830;620;410;1440;1025;930;920;955;1005;654;884;10 478;;
249;630;825;485;440;475;505;555;820;460;495;470;430;6 590;;
255;385;540;592;440;735;470;730;613;510;300;475;530;6 320;;
277;375;380;440;280;350;455;220;385;375;340;385;255;4 240;;
284;110;345;150;385;285;190;300;230;150;0;185;438;2 768;;
287;1 735;1665;1000;1145;1590;1135;1295;1523;1275;1335;1060;1640;16 398;;
290;1 210;1390;1490;1920;1435;2345;1955;1440;2175;1165;1330;2465;20 320;;
298;240;240;320;320;400;300;225;300;;225;75;300;2 945;;
;18 163;17919;19 253;17 680;20 360;22 546;23 183;23 904;23 078;18 423;19 412;23 552;247 473;;SUPER
458;459;442;785;575;477;461;380;396;381;335;347;736;5 774;;
459;890;940;1 025;1 070;1 050;1 270;1 234;819;1 145;1 285;1 120;1 435;13 283;;
600;2 660;2 055;2 490;3 240;2 527;3 130;2 585;2 385;3 045;2 170;2 315;3 740;32 342;;
602;0;0;0;0;0;0;0;0;0;0;0;0;0;;
603;1 205;780;900;980;940;1 350;1 170;1 050;820;470;1 030;855;11 550;;
604;515;463;753;476;985;381;423;720;700;467;482;572;6 937;;
605;0;0;0;0;;;;;;;;;0;;
606;545;465;465;380;345;630;640;653;655;547;535;600;6 460;;
608;765;715;1 065;920;970;900;845;955;695;455;635;845;9 765;;
609;1 004;1 106;919;1 351;1 129;655;955;1 444;870;1 157;764;1 117;12 471;;
612;855;1 075;930;1 331;1 090;1 155;2 145;1 150;1 520;840;1 015;1 120;14 226;;
613;1 540;2 035;1 655;1 525;2 360;1 745;1 600;1 756;1 410;1 755;1 600;1 900;20 881;;
615;945;1 465;1 190;1 085;1 790;1 195;1 175;1 525;1 085;1 550;1 400;1 565;15 970;;
616;1 325;955;1 340;1 360;1 960;1 150;1 303;1 180;1 190;1 155;1 060;1 195;15 173;;
617;675;626;461;705;395;488;444;348;305;328;285;529;5 589;;
619;950;631;628;637;777;1 063;714;765;941;618;710;907;9 341;;
620;422;317;514;758;497;366;939;402;543;384;494;691;6 327;;
624;580;310;270;350;680;605;455;754;482;640;615;690;6 431;;
625;2 190;1 940;3 030;2 115;3 115;2 722;2 570;3 071;2 342;1 726;2 640;2 319;29 780;;
626;695;405;490;515;540;560;510;375;1 400;1 185;1 165;1 830;9 670;;
631;1 405;1 860;1 450;1 360;1 465;1 230;1 410;1 458;1 320;1 750;1 168;1 249;17 125;;
632;2 325;1 950;2 720;2 155;2 260;3 445;3 070;2 985;2 235;2 210;2 375;2 960;30 690;;
633;1 366;1 830;1 370;1 225;1 510;1 135;1 355;1 451;1 215;1 265;1 100;1 050;15 872;;
634;920;695;915;570;710;740;880;1 020;706;445;735;880;9 216;;
637;1 900;1 220;1 685;1 370;1 560;1 880;1 445;1 320;1 262;850;1 314;1 510;17 316;;
639;975;810;835;1 225;1 075;1 190;1 520;1 365;1 217;790;1 030;1 200;13 232;;
640;1 135;1 540;1 290;1 050;1 210;1 160;1 000;1 320;1 090;1 480;1 020;1 160;14 455;;
644;1 140;940;1 005;1 275;1 125;1 180;1 280;724;1 020;730;1 015;1 370;12 804;;
645;1 545;1 630;1 805;2 585;1 745;1 955;1 500;1 449;2 465;1 305;1 840;2 940;22 764;;
647;950;693;765;1 135;860;575;1 385;580;1 440;585;810;885;10 663;;
649;;;;;;;;;;;;;0;;
653;1 480;985;1 210;885;1 035;1 445;1 025;985;1 015;800;750;875;12 490;;
654;806;414;876;654;1 044;828;778;1 043;769;533;656;1 210;9 611;;
659;960;785;475;580;760;860;750;720;735;762;738;780;8 905;;
660;2 125;2 075;3 110;2 535;2 595;3 320;2 250;2 200;2 205;1 550;1 705;2 905;28 575;;
661;820;610;610;1 258;940;775;1 210;1 140;1 337;940;710;1 320;11 670;;
662;2 560;2 335;2 645;1 755;2 085;2 710;1 600;2 276;1 800;1 605;2 750;2 030;26 151;;
664;3 250;2 910;4 115;3 055;1 136;3 270;2 512;3 815;3 045;3 290;3 510;3 405;37 313;;
667;2 840;1 380;2 230;2 120;2 680;2 430;2 570;3 080;2 310;1 510;1 790;2 205;27 145;;
668;940;790;945;1 200;1 355;1 350;1 087;979;1 410;1 210;1 260;1 840;14 366;;
669;2565;2755;1934;1740;2420;2125;1940;2972;2255;2250;1845;2320;27 121;;
674;971;1 046;1 076;1 147;1 135;919;1 046;1 023;1 050;765;975;1 151;12 304;;
675;950;890;508;994;1 331;938;928;955;1 295;1 129;777;1 183;11 878;;
678;2 995;2 400;3 036;2 310;2 801;3 031;2 260;1 630;3 485;1 473;2 527;3 107;31 055;;
686;1 414;1 335;1 280;1 255;1 950;1 450;1 684;1 794;1 440;1 610;1 290;1 120;17 622;;
691;;;;;;2720;1995;3955;3090;1760;1770;3060;18 350;;
694;0;0;0;0;0;0;0;0;0;0;0;0;0;;
;56 557;50 603;56 800;54 811;58 414;62 487;58 567;61 987;60 740;49 664;53 672;66 361;690 663;;HYPER
